Comentário;Categoria #2;Categoria #1;Desempate;Viés político Crítica e Protesto;Viés político suporte;
O Brasil é um The Office 😂😂😂;Humor;Humor;Humor;;;
Começou a briga pela cadeira da prefeitura de SP!!!;Humor;Humor;Humor;;;
Eu quero IBAGENS, COMANDANTE HABILTON, quero IBAAAGENS DA BRIGA kkkkkkkk!!!!!!!!!!!!!!!;Humor;Humor;Humor;;;
Meu voto vai pra cadeira agora ✅🪑 KkkKKkkK;Humor;Humor;Humor;;;
Quero ver ele dizer agora que Datena não é homem pra fazer isso kkkkkkkk;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
E TEM QUE DEMITIR O DIRETOR DE IMAGENS DA TV CULTURA. TELEVISÃO É AUDIÊNCIA, NA  HORA CRUCIAL ELE TIRA A IMAGEM DA CONFUSÃO, ESSE INCOMPETENTE NÃO PODE FICAR NO EMPREGO DE JEITO NENHUM!;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
o Marçal vai demorar 2 semanas pra recuperar o chip que o Datena destravou na mente dele kkkkkkk;Humor;Humor;Humor;;;
O poder da mente não segurou a cadeirada do datena;Humor;Humor;Humor;;;
O Marçal queria a cadeira da prefeitura e teve kk;Humor;Humor;Humor;;;
Engraçado foi a voz gritando, ' não Datena'!!! Kkkk;Humor;Humor;Humor;;;
Assistir em câmera lenta é muito engraçado;Humor;Humor;Humor;;;
Valeu Datena, obrigado...;Suporte;Suporte;Suporte;;Suporte a Datena;
A única coisa que eu vi foi o Marçal pedindo para apanhar, e o Datena como homem respeitosamente equilibrado que é fazendo o que o colega pediu. 🤣🤣🤣🤣🤣🤣🤣🤣;Humor;Humor;Humor;;;
Não conseguiu fazer a cadeirante levantar da cadeira, mas conseguiu fazer o Datena levantar a cadeira!;Humor;Humor;Humor;;;
O COACH DA SHOPEE SABE EVITAR QUEDA DE HELICÓPTERO,  MAS NÃO CONSEGUE SE LIVRAR DE UMA CADEIRADA? 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Parabéns Datena;Suporte;Suporte;Suporte;;Suporte a Datena;
Eu quero saber se a cadeira esta bem kkkkkkkkk;Humor;Humor;Humor;;;
Ah eu não sou homem? Nunca fale isso para um homem.;Suporte;Suporte;Suporte;;Suporte a Datena;
Nunca diga em caipirês , Ocê num é omi ! para um idoso😅;Suporte;Humor;Humor;;;
Gostei da parte que datena falar seu filho da putakkkkkk😅;Suporte;Suporte;Suporte;;Suporte a Datena;
Datena é meu candidato agora kkkkk;Suporte;Suporte;Suporte;;Suporte a Datena;
Parabéns Datena foi a melhor cena que eu vi em debates eleitorais. Dá vontade de fazer isso em muitos .;Suporte;Suporte;Suporte;;Suporte a Datena;
Lavou a alma de todos os jornalistas que tiveram vontade de fazer o mesmo 😅;Suporte;Suporte;Suporte;;Suporte a Datena;
😂😂😂😂😂😂😂😂😂 Datena combate o crime na cadeirada, tem meu voto;Suporte;Suporte;Suporte;;Suporte a Datena;
Meu voto e do Datena agora kkk;Suporte;Suporte;Suporte;;Suporte a Datena;
Datena ganhou meu voto! Rsrssss nunca diga p um homem q ele n é homem p akilo;Suporte;Suporte;Suporte;;Suporte a Datena;
Nossos comerciais que a luta começou 😂😂😂;Humor;Humor;Humor;;;
Datena confundiu o debate com combate kkkkElegeram o MARÇAL 😅;Humor;Crítica e Protesto;Humor;;;
Espero que a defesa civil aprenda com o Datena. Incêndios podem ser apagados com cadeiras. Kkkkkkkk;Humor;Suporte;Humor;;;
Datena ganhou o meu voto !!! Nunca diga que um homem não tem coragem.;Suporte;Suporte;Suporte;;Suporte a Datena;
Datena vive num outro mundo kkkk;Crítica e Protesto;Humor;Crítica e Protesto;Crítica a Datena;;
A cadeira passa bem?;Humor;Humor;Humor;;;
Obrigado Datena. Muita gente se sentiu contemplado. Já tem o meu voto.;Suporte;Suporte;Suporte;;Suporte a Datena;
Ah! Tinha que deixar o vídeo rodar pô! A melhor parte do debate ele cortam.;Crítica e Protesto;Neutro;Neutro;;;
Isso que dá ofender um homem, recebeu o que merecia;Suporte;Suporte;Suporte;;Suporte a Datena;
DATENA HERÓI NACIONAL;Suporte;Suporte;Suporte;;Suporte a Datena;
Datena fez oque todo mundo quer fazer obrigado Datena meu voto é seu;Suporte;Suporte;Suporte;;Suporte a Datena;
Se o Twitter estive no ar teria tanto meme 😂😂😂😂😂;Humor;Humor;Humor;;;
Confesso que não sei se fico triste pelo baixissimo nível que a política brasileira chegou, ou contente por alguém finalmente ter punido o coach fraudulento.;Neutro;Crítica e Protesto;Crítica e Protesto;Crítica a Marçal;;
Datena é uma lenda!;Suporte;Suporte;Suporte;;Suporte a Datena;
Datena vai subir nas pesquisas!! Votem no Datena, pelo menos teve coragem e honrou o que promete.;Suporte;Suporte;Suporte;;Suporte a Datena;
O Datena não tankou o Bostil kkkkk;Suporte;Humor;Humor;;;
Heroi do povo brasileiro;Suporte;Suporte;Suporte;;Suporte a Datena;
Essa cadeirada foi do povo de SP. Parabéns Datena tem meu voto.;Suporte;Suporte;Suporte;;Suporte a Datena;
Datena tem meu voto agora;Suporte;Suporte;Suporte;;Suporte a Datena;
Não sou fã do Datena, mas tenho que agradecer. Representou bem.;Suporte;Suporte;Suporte;;Suporte a Datena;
Quem acha que o Datena responde a altura, da um like !!!!!!;Suporte;Suporte;Suporte;;Suporte a Datena;
