Comentário;Categoria #1;Categoria #2;Desempate;Viés político Crítica e Protesto;Viés político suporte;
A Briga pela CADEIRA de prefeito agora esquentou 😂😂😂😂;Humor;Humor;Humor;;;
Kkkk chamar o Datena pra brigar e saber q ele vai brigar mesmo 😆;Humor;Humor;Humor;;;
Que isso, cortaram logo nessa parte. Sacanagem.;Neutro;Crítica e Protesto;Neutro;;;
Já dizia o grande político Tiririca. 'Sempre dá para piorar' 🎉;Neutro;Humor;Humor;;;
Só veio à mente aquela cena do Shrek: A cadeira, usa a cadeira!;Humor;Humor;Humor;;;
Fico com inveja de quem viu isso ao vivo 😂;Humor;Humor;Humor;;;
A cadeira teve 30 segundos para tréplica;Humor;Humor;Humor;;;
Aí sim foi um deBATE!!;Humor;Humor;Humor;;;
Eu deu mais risada foi da reação do apresentador😂😂😂😂😂;Humor;Humor;Humor;;;
Datena entrou para história com uma cadeira  superando o Will Smith com um Óscar 😂😂😂;Humor;Humor;Humor;;;
Não conseguiu fazer a cadeirante levantar da cadeira, mas conseguiu fazer o Datena levantar a cadeira!;Humor;Humor;Humor;;;
Datena desbloqueou o código da cadeira...;Neutro;Humor;Humor;;;
Mano... Isso vai entrar pra história.;Neutro;Neutro;Neutro;;;
A frase do ano: NÃO DATENA, NÃO, NÃO...nossos comerciais, por favor. 😂😂😂😂;Humor;Humor;Humor;;;
Indício verem na velocidade 0.5 que é mais dahora kkkkkkk;Humor;Humor;Humor;;;
Agora, Pode chamar de tudo, menos de arregão😂😂😂😂;Humor;Humor;Humor;;;
Como se faz pra parar de assistir esse vídeo??? Já assisti umas 30 vezes... kkkkkkkkkk;Humor;Humor;Humor;;;
Marçal esta lutando por uma cadeira na prefeitura.;Humor;Neutro;Humor;;;
Dapena sempre falando de violência em seu programa provou que entende mesmo do assunto 😂😂😂😂;Humor;Humor;Humor;;;
Pelo menos o Marçal não pode mais chamar  o Datena de arregão😂😂😂;Humor;Humor;Humor;;;
Marçal:Você nao é homem nem pra fazer issoDatena:Como é amigo?😂😂😂;Humor;Humor;Humor;;;
O que se viu foi uma barbaridade, me dê imagens comandante Hamilton...;Humor;Humor;Humor;;;
Finalmente, o Marçal conseguiu a cadeira para prefeitura.;Humor;Humor;Humor;;;
Gente!!! Que loucura!! Amei!!!;Humor;Suporte;Suporte;;Suporte a Datena;
o cara chamou de arregão e apanhou 😅😂;Humor;Suporte;Suporte;;Suporte a Datena;
O único que não merecia passar por isso, foi a cadeira.;Humor;Crítica e Protesto;Humor;;;
Por essa nem o Marçal estava preparado kkkkk;Humor;Humor;Humor;;;
Em uma briga entre políticos eu torço pela briga.;Humor;Crítica e Protesto;Humor;;;
O Datena vingou a cadeirante que não pôde ser curada pelo Marçal 😂😂;Humor;Humor;Humor;;;
Pediu, levou. 😂😂;Humor;Humor;Humor;;;
ISSO NÃO É UM DEBATE, E SIM UM MORTAL KOMBAT!!!;Humor;Humor;Humor;;;
Ao invés de votação é melhor decidir no ringue. O último de pé ganha a 'eleição' kkkkk;Humor;Neutro;Humor;;;
A manchete deveria ser 'Marçal pede agressão e leva cadeirada';Humor;Crítica e Protesto;Humor;;;
Dapena encerrou sua carreira miseravelmente!;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Marçal pensou, estou confiante, meu poderes de campo de força nao deixaram a cadeira pegar em mim 🤣😂🤣😂🤣😂🤣😂😂;Humor;Humor;Humor;;;
Brasil urgente!!!!;Humor;Humor;Humor;;;
Procurou contato, o contato veio. Lance normal, segue o jogo!;Neutro;Humor;Humor;;;
Isso mostra nivel dos candidatos da maior cidade do Brasil ... que país é este 😢😢;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Que tristeza, deveria ter usado mais força 😂;Humor;Humor;Humor;;;
Recomendo assisitirem em camera lenta e observaram a tradutora de libras. Impecável o trabalho dela;Humor;Humor;Humor;;;
Dapena descontrolado...  acabou debate... Marçal foi embora....  vamos dormir.;Neutro;Neutro;Neutro;;;
A moça intérprete de libras ficou muda.😂;Humor;Humor;Humor;;;
Finalmente, Marçal encontrou alguém à altura dele: uma cadeira 😂😂😂🎉;Humor;Humor;Humor;;;
Sensacional 😂...Encerrou a pequena carreira política do Dapena...;Humor;Humor;Humor;;;
Datena : Vc quer ser prefeito?Então receba a cadeira;Humor;Humor;Humor;;;
