Comentário;"Categoria #1
";Categoria #2;Desempate;Viés político Crítica e Protesto;Viés político suporte;
Esse negócio de tela na vertical está acabando com o jornalismo. Se essa m3rda de celular estivesse na horizontal, teria mostrado todos os detalhes do que aconteceu.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Brasil Urgente : Candidato agride oponente,  olha que barbaridade, põe na tela Latino;Humor;Humor;Humor;;;
A TV cultura nunca viu tanta audiência 😅😂;Humor;Humor;Humor;;;
Quem filmou, perdeu o melhor momento... lamentável. Nota 0 pro cinegrafista kkkkkk;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
A candidatura para a prefeitura de São Paulo é tipo a dos Estados Unidos É estilo mata-mata;Humor;Humor;Humor;;;
O Marçal pode saber se livrar do ataque de tubarão, mas para o azar dele o Datena não tinha um tubarão.;Humor;Humor;Humor;;;
Ninguém percebeu, mas por poucos centímetros a Maria Helena quase recebe um belo apagão;Neutro;Neutro;Neutro;;;
É inadmissível não ter Twitter num momento como esse kkkkkkkkk;Humor;Humor;Humor;;;
Acho que ninguém aqui mencionou que o Nunes foi lá ajudar a segurar o Datena, primeira coisa útil que ele fez na vida dele kkkkk;Crítica e Protesto;Humor;Humor;;;
Nunca diga que um sujeito 'não é homem o suficiente'. Civilidade acaba aí.;Suporte;Suporte;Suporte;;Suporte a Datena;
Só digo uma coisa: 'Isso é uma barbaridade!!!' 😂;Humor;Humor;Humor;;;
Eu ia votar nulo, agora vou voltar na cadeira 😂😂😂.;Humor;Humor;Humor;;;
Queria a cadeira de prefeito, ganhou a cadeira do Datena 😅😂;Humor;Humor;Humor;;;
Falou que o cara não tinha coragem? Tomou kkk;Suporte;Humor;Humor;;;
A cadeira está bem???? Aguardando notícias! Força guerreira!;Humor;Humor;Humor;;;
ISSO MOSTRA A PALHAÇADA QUE VIROU A POLÍTICA RANÇOSA QUE SÓ CAUSA NÁUSEAS NO POVO DO NOSSO PAÍS... NÃO EXISTE MAIS SERIEDADE;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
O jornalista que tava filmando só tinha uma missão, e falhou 😂😂😂;Humor;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Datena reprovado no teste de pressão. Explodiu. Está fora da cadeira da prefeitura. Kkkk;Humor;Humor;Humor;;;
Conseguiu ' o corte '  MARÇAL literalmente;Neutro;Humor;Neutro;;;
Gente, dizer que você não é homem para isso.. A cadeira de candidato ele levou! 😂😂😂😂😂;Humor;Humor;Humor;;;
POLÍTICA REALMENTE É ALGO QUE CORROMPE O SER HUMANO.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Infelizmente esse povo gosta de barraco, e votam justamente por conta do barraco, não pelo histórico do canditado e nem pelas propostas;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
Datena agora vai passar no Datena 😅;Humor;Humor;Humor;;;
Pergunta ❓ que o universo quer saber : quando vai ser o próximo debate?.... Pq agora tem que dividir os blocos por round 😂😂😂😂😂😂 e a cadeira tem que ser indenizada 😂😂😂😂😂;Humor;Humor;Humor;;;
O Datena perdeu a prefeitura,  mas se tornou uma lenda!!!Lenda no sentido de que essa cena nunca será esquecida e ficará para a história da TV brasileira!;Suporte;Suporte;Suporte;;Suporte a Datena;
— Quer a cadeira da prefeitura?Então toma...;Humor;Humor;Humor;;;
Pediu o contato... E o contato veio. 😅;Humor;Humor;Humor;;;
1:16 Elevador tava cheio que nem busão das 18h 😅😂;Humor;Humor;Humor;;;
Agressão Física...nem direita...nem de centro....nem esquerda.... não justifica 😮😮😮😮😮;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
😂😂 Eu iria voltar &gt.&gt. Nulo &lt.&lt. mais agora irei votar na cadeira 😂😂;Humor;Humor;Humor;;;
Datena: -Conhece o FERREIRA?Marçal:- Que FERREIRA?Datena:-O que te acerta a cadeira😂😂😂;Humor;Humor;Humor;;;
Problema de alguém se achar o mais doido é aparecer um doido e meio e dobrar a aposta hahahahah;Suporte;Humor;Humor;;;
E se a cadeira precisar de atendimento psicológico? Quem vai pagar?Boa sorte cadeira. Tem meu apoio.;Humor;Humor;Humor;;;
Só para informar que a cadeira passa bem, apenas sofreu pequenas escoriações 😂😂😂😂;Humor;Humor;Humor;;;
Datena perdeu o debate quando ele agrediu o outro candidato. Um verdadeiro absurdo.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica a Datena;;
Onde está chegando a política brasileira. Candidatos descontrolados e agredidos ao vivo. Isso prova que não tem capacidade para dirigir uma prefeitura no porte de SP....e Marçal também joga bem baixo.;Crítica e Protesto;Crítica e Protesto;Crítica e Protesto;Crítica Geral;;
