Comentário;Categoria #1;Categoria #2;Desempate;Viés político Crítica e Protesto;Viés político suporte;
O tanto de meme que isso vai ter não vai ser descrito kkkkkkkkEdit: ok, mas vamos concordar que a cadeirada foi linda, ela foi muito satisfatória  kkkk;Humor;Suporte;Humor;;;
SUPERA ESSA WILL SMITH! AQUI É BRASIL!!!;Humor;Humor;Humor;;;
Datena: Conhece o Ferreira?Marçal: Que Ferreira?Datena: Que te acerta com a cadeira;Humor;Humor;Humor;;;
A profissional de libras comunicando a cena é um espetáculo a parte.;Humor;Humor;Humor;;;
É uma barbaridade kkkkkkkkkkkkkkkkkkkkk;Humor;Humor;Humor;;;
A briga pela CADEIRA de prefeito esquentou;Humor;Humor;Humor;;;
Essa cena vai entrar pra história do Brasil com toda certeza. Uma das cenas mais épicas já registradas por uma TV. Um episódio 100% The Office.;Humor;Neutro;Humor;;;
O olhar assustado do mediador é impagável!!!!;Humor;Neutro;Humor;;;
Como fazer 1OO á 1OOO por diiiiiaaa!⬇️⬇️⬇️;Humor;Humor;Humor;;;
Esse 'Não, Datena!' me quebra toda hora, Pqp KkKk;Neutro;Humor;Humor;;;
Lamentavel, a cadeira nao tinha nada a ver com isso;Humor;Humor;Humor;;;
0:20 Políticos lutando literalmente por seu voto, a gente só vê aqui.;Humor;Humor;Humor;;;
Quem se lascou nessa foi a cadeira que não tinha nada a ver com a história 😂😂😂😂;Humor;Humor;Humor;;;
Metade das brigas no Brasil começam com 'Você não é omi'.;Crítica e Protesto;Humor;Humor;;;
É disso que o Brasil gosta. 🤣;Humor;Humor;Humor;;;
“Se não é homem nem pra fazer isso” então toma na paleta kkkkkkkkkk;Neutro;Humor;Humor;;;
'Você não é homem nem pra fazer isso'Ele fez;Crítica e Protesto;Neutro;Neutro;;;
Datena: 'Você quer a cadeira de prefeito?? Toma essa então.';Humor;Humor;Humor;;;
O Datena pensou assim: 'Rapaz, eu sou multi milionário, sou famoso e sou velho. Eu não preciso e não vou aceitar esse desaforo'. kkkkkkkkkk;Crítica e Protesto;Humor;Humor;;;
comico demais e o comentarista 'MOSTRA OS COMERCIAIS POR FAVOR' KKKK, o cara tava de olha arregalado olhando a cena kkkk;Neutro;Humor;Humor;;;
ESSES DEBATES ESTA MELHOR QUE BRIGA DE VIZINHO KKKKKKKK;Humor;Humor;Humor;;;
CADÊ AS IMAGENS DOS BASTIDORES, DÁ CONTINUAÇÃO DA BRIGA!? EU QUERO IMAGENS!!!;Humor;Humor;Humor;;;
Morreu o Datena e nasceu o Detona;Humor;Humor;Humor;;;
TV CULTURA: DATENA VC ESTA CONVIDADO PARA O DEBATE.DATENA: COMBATE? TO DENTRO.TV CULTURA: NÃO DATENA, É DEBATE.;Humor;Humor;Humor;;;
Dava golpe em idoso.Levou um golpe do idoso.O mundo da voltas 😂😂;Humor;Humor;Humor;;;
Nunca diga que alguém não é homem para fazer determinada coisa.;Neutro;Neutro;Neutro;;;
