author;message;like_count;time
@vitin17;Pediu o contato kkkkkk ele veio;0;2025-01-20T16:47:46Z
@Nataly_ket;Datena:Qual o feminino de freiroMarçal:Freira Datena:que te bate com a cadeira;0;2025-01-18T17:08:57Z
@ShadowsOfSorrow-x2u;Vídeo atemporal;0;2025-01-17T01:33:00Z
@allysonwwe;😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂;0;2025-01-09T07:06:20Z
@Okarun_Natsuki;Kkk brasil sendo brasil;0;2024-12-30T19:41:22Z
@Nyckolas_Vicente51;Não defendo à violência mais o Marçal pediu para levar pois ele provocou até o limite.;1;2024-12-15T01:11:30Z
@gamernayu;Meu deus que vídeo ótimo, tudo nele é ótimo 😂😂😂😂😂😂;0;2024-12-02T03:05:21Z
@Nyckolas_Vicente51;Datena foi provocado o debate todo, Datena errou mais Marçal também errou ao provocar ele.;1;2024-11-25T03:52:00Z
@AugustSchneiderHoffmanZiër-q7q;'Mostra os comerciais por favor' KKKKKKKK;0;2024-11-23T11:10:54Z
@FlavioSilvasantos-xe5rq;tem hora que da voltade de fazer igual datena;0;2024-11-17T16:16:35Z
@Femboymxr;Qual o feminino de frade? Freira, que te bate com a cadeira.;1;2024-11-09T11:22:22Z
@CanaldeClassicosOficial;Todo mundo ai queria dar uma cadeirada no pablo ate quem estava assistindo ele 😂;0;2024-10-22T09:33:50Z
@SCA_FC;Era uma vez, um Pablo Marçal levando uma caldeirada do Datena;0;2024-10-20T14:19:29Z
@PikachuPokemonDaZueira78935;Tanjiro sentado a porrada no Zenitsu kkkkk🤣😂🤣;0;2024-10-18T15:04:03Z
@LucasLima-i1p;ah agora eu ja sei a origem do Vasco kkk;0;2024-10-16T23:45:14Z
@srsaiku6578;KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK;0;2024-10-14T01:29:05Z
@jaojao3716;logo, logo vai sair a lei 'Maria Datena'.....vamos aguardar!;0;2024-10-13T13:31:34Z
@fnonaka;Achei maravilhoso essa cadeirada nele! kkkk Mereceu!;0;2024-10-10T23:03:22Z
@Rockstar_bonnie.;SEGURA A CADEIRA;0;2024-10-05T22:19:18Z
@janefernandescarlos8295;Não adiantou nada o Datena ter feito isso, vai continuar sem voto 😂;0;2024-10-03T14:17:12Z
@ViniciusRosa24;a cadeira, use a cadeira;0;2024-09-28T20:34:30Z
@NonameAtall-o1d;O cara não aguenta provocação. Imagina se ele estivesse armado...;0;2024-09-27T11:28:13Z
@juniorjotaerre1793;Turma do chaves total 😅;0;2024-09-27T10:56:50Z
@Fhintear;Eu pensei que isso tinha acontecido a uns 3 ou 4 anos,mais n kkkkkkkk faz uma semana kk;0;2024-09-26T16:14:44Z
@reginadantas4353;😂😂😂😂😂vai datena kkkkk;1;2024-09-25T15:52:05Z
@julianacarvalho1995;Tapa não, mas cadeirada 😂😂😂;0;2024-09-25T03:36:58Z
@pomariprofessor2914;O Gordo passou-se da marmita , e zás!!!!.Um cadeirada no pequenino.;0;2024-09-25T00:23:49Z
@luccatosto7949;O Datena não sabe nem o que ele fala 🤡, sério. Eles todos têm marqueteiros e gastam milhões 💸, aí ficam inventando conversa toda hora 🗣. Mas o Brasil quer saber 🇧🇷, São Paulo quer saber 🏙: que horas isso vai parar? ⏰ Se não respondeu a pergunta ❓, a gente quer saber 🧐, porque você é um arregão! 🐔 Se atravessou o debate esses dias pra me dar um tapa 👋 e falou que queria ter feito 🤔, mas nem foi homem pra isso. Não, Datena 😱!! Se não é homem. Não, não!!!A!! 🪑💥 🤦‍♂ Roda os comerciais, por favor. 🎬;0;2024-09-24T14:32:17Z
@valeriadetoledo7748;Datena já ganhou;0;2024-09-24T12:24:17Z
@WillianThomazotti;Prestem atenção no apresentador em sua fala na hora da agressão..... : ' Nao dapena 'Essa fala simplesmente pq ele sabia que dapena seria banido pela justiça das eleicoes simplesmente por isso .... não foi um aviso pro agressor nao agredir ..... Mas foi pq sabia que pode dar perda do direito de se eleger podem acreditar nisso;0;2024-09-24T02:26:52Z
@raquelcarvalho1583;José Luíz Datena virou a mais nova piada e chacota sexual do Brasil e da Internet inteira também junto com o seu próprio e igualmente famigerado amante e garanhão drogado e promíscuo bissexual e senil feito ele próprio também chamado Mirtes Carvalho daqui de Itaipuaçu e da Rua 47 no Jardim Atlântico onde ele mora sozinho também.😂;0;2024-09-24T02:03:14Z
@daianelima877;Toma merecia mais;1;2024-09-24T01:13:37Z
@LeviSuper-dr2rm;política no Brasil é mma kkkk;0;2024-09-24T00:09:22Z
@ivoneidesousa9645;Só baixaria;0;2024-09-23T19:54:03Z
@borapedreiro;SE LER A MENTE DO PETISTA DESCOBRIRÁ QUE É LADRÃO, A MENTE DO NUNES É DE QUEM NÃO FEZ NADA E DO MARÇAL É A ESPERANÇA!DATENA VAI FICAR DESEMPREGADO.MEU PREFEITO É O MARÇAL, OUTRO NÃO GOVERNA.;0;2024-09-23T15:28:39Z
@samucazinho2012;Roda os comerciais porfavo kkk;1;2024-09-23T00:08:07Z
@Podcastclipsbr;Pelo menos o pablo marçal ensinou a como levar cadeirada na fuça😂😂😂😂😂😂😂;1;2024-09-22T20:46:54Z
