author;message;like_count;time
@Sofiagabriella-z3b;Kkkkkkk;0;2025-01-17T19:59:46Z
@ravi_632;A mulher sumindo kkkkk;0;2025-01-17T14:10:38Z
@josepaulopereira905;Dois bolsonarista  brigando , que coisa feia !🤔;0;2025-01-15T21:55:10Z
@Júlia-m4u9t;Amei;0;2025-01-06T16:04:56Z
@davimendes5832;BEM ELE NAO PODE DIZER AGORA QUE O DATENA NAO É ARREGÃO KKKKKKKKKKKKKKKKKKKKKKKKKK;0;2025-01-01T00:27:43Z
@santiagoblanco4031;Se cagou e levanto as mãos para se proteger o 'homem'.;0;2024-12-31T22:51:45Z
@Mayaotsu;Que lindo;0;2024-12-24T10:29:32Z
@ezus1000;😂😂😂😂😂;0;2024-12-20T22:43:12Z
@CarlosSouzareis-r3c;Vc e gay;0;2024-12-19T02:02:07Z
@alvosecreto1682;Cadeira eleita no primeiro turno 😅😅😅😅😅 prefeita de são Paulo 😂;1;2024-12-09T22:04:30Z
@edilsongomesdelimajunior3802;QUE  SENA  LAMENTÁVEL   VIU.  ESTE  DATENA  E  MIL  PORCENTO  DESCONTROLADO  VIU.;0;2024-12-09T21:59:51Z
@mirelepaz187;Tirando fato da cadeirada, Olha o nível do xingamentos do Pablo Marçal e das provocações para um debate sério que tá em jogo Quem irá servir um cargo para ajudar o país parecia a quinta série;0;2024-12-08T02:25:41Z
@Viviii-z8v;aí aí como é bom ser brasileira 😅;0;2024-12-04T03:19:21Z
@monicahoffmanndasilva2131;O Brasil é maravilhoso 😂😂😂😂😂😂😂😂 seria melhor se fosse com a mesa, que pesa mais!;1;2024-11-24T01:35:21Z
@Thompson_LK;Eita Porra MeNo Que Lapada;0;2024-11-22T02:23:19Z
@afonsoguedes4485;Mais engraçado foi o desespero do mediador… pelo visto, ele tinha esquecido que o trato deveria ser: em qualquer circunstância, que fuja a normalidade, chame o intervalo. Rs;0;2024-11-19T17:39:14Z
@Ricardo-qc4ts;Historico essa cadeirada kkk;0;2024-11-17T01:15:04Z
@trutavermelho;imagina em seguida aparece um comercial de cadeira kkkkkkkkkk;1;2024-11-16T15:48:04Z
@Infinity_kat-y5s;Kkj e tal engraçado n perde a graça 😂;1;2024-10-31T14:17:57Z
@Oliveira-t8d;Datena olha o três capa tropa;0;2024-10-31T02:11:00Z
@ph.moreirafurtado1234;Isso é uma barbaridade;0;2024-10-27T22:05:13Z
@vinicius241d.;Marsal:🤨Datena😡Cadeira rebelde:🥸;0;2024-10-26T00:58:28Z
@victorgabriellegalzinho;Kk toma se mecher com o datena leva uma cadeirada em dobro kk;0;2024-10-25T00:08:52Z
@eliaslemedoprado5345;Nunca duvide de ser humano  é  imprevisível  ninguém  tem  sangue  de barata  né;0;2024-10-24T15:59:44Z
@murilofernandes9919;Típico de esquerdista quando perde no argumento kkkk;0;2024-10-24T08:43:46Z
@wanessahonda2765;K😅;0;2024-10-23T20:30:32Z
@YuriZito-p3v;●                         😢/|\💺          ☠    \//\ /\                       / \Datena              Marçal;0;2024-10-20T13:21:26Z
@fernandohenriquepires4143;Mereceu😂;0;2024-10-20T01:15:08Z
@NeideDaSilvaBarbosa;Kkkkkk😂😂😂;0;2024-10-19T13:27:51Z
@itallomagalhaes6621;KKKKKKKKKKKKKKKKKKKK;0;2024-10-18T20:39:00Z
@ManuelaMatos-m5p;Kkkkkk;0;2024-10-15T12:36:55Z
@daniellebevilaqua1975;Por que que esse vídeo tem 5 horas de duração?😂😂😂;0;2024-10-14T04:41:35Z
@Jeremias-1959;José Luiz Datena e seus vexames acabou com o PSDB;0;2024-10-14T00:47:58Z
@FoxOpressivo;E nasce um meme;0;2024-10-14T00:06:31Z
@jaojao3716;logo, logo vai sair a lei 'Maria Datena'.....vamos aguardar!;0;2024-10-13T13:32:21Z
@isabelamoura2407;😂;0;2024-10-11T15:11:44Z
@julianaalmeida6179;Não datena😂 que saudades;0;2024-10-11T06:33:25Z
@MariaGoretedeSouzasilvaS-hk5zx;Pablo Marçal: vc não é homem O Datena: prfv não sufoque o artista;0;2024-10-11T00:02:43Z
@_.Mozuto._;Moral:cadeiradas funcionam🤡;0;2024-10-10T10:48:26Z
@TADEULATTARO;QUEM MEXE COM QUEM ESTÁ QUIETO É ISSO QUE DÁ.....🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣;0;2024-10-09T16:34:50Z
@mEvaGaia44;Gostei demais dessa cadeirada Teria feito mesmo 😅😂🤣🤣🤣🤣🤣🤣🤣🤣🤣😂;0;2024-10-09T00:36:06Z
@julianrondinelli8519;Ficou claro quem realmente é o homem, a valentia desse trambiqueiro ai e so na lingua kkkkkkkkkkkkk;0;2024-10-08T19:00:13Z
@TubaroesFCofficial;Isso foi brabo;0;2024-10-08T01:51:10Z
@suzysantos8653;Sou contra violência, mas tem gente q provoca demais, bem feito!!!😂😂😂;2;2024-10-07T19:48:58Z
@esteladossantos5794;Cachorro do dantena;0;2024-10-07T00:43:10Z
@redelune;Nossa Senhora, Que a Mulher do Céu abençoe o Marçal;0;2024-10-06T21:56:30Z
@eduardorenanhunfre8624;Kakakakakakak Marçal qual e o animal que as mulheres tem medo a barata 🪳 então toma essa cadeirada 🪑😂🤣;1;2024-10-06T19:46:12Z
@EmillyVitoria-m8n;Kkkkk ele mereceu certo ou n?;0;2024-10-05T21:30:52Z
@otavioreboucasjovitaolivei3184;&#39.&#39.NÃO DATENA&#39.&#39.-melhor frases 2024;0;2024-10-05T16:20:03Z
@joaovidalolivaneto7233;Datena não se elege mais nem p síndico do condomínio dele..caiu bonitonho na armadilha do Marçal!!! Kkkkkkk;1;2024-10-05T03:09:55Z
@lorenzop9977ds;o detona arrebentou o paulo nasal;0;2024-10-04T20:31:13Z
@adrianaportugal6583;Que pena que não acertou;0;2024-10-02T01:15:28Z
@kevinalcon4553;Datena meu héroe a cadeira também 🫶🫶;0;2024-10-01T15:54:33Z
@richardbravodasilva9405;Datena, qual o nome do eletrodomésticos que gela água? Marçal, geladeira.Datena, que te bate com a cadeira 😅;0;2024-10-01T14:47:57Z
@richardbravodasilva9405;Datena e brabo;0;2024-10-01T14:45:24Z
@estanciaflamboyant1614;Chiiiiii nunca ma😅s Dateba;0;2024-09-30T20:08:43Z
@muki3419;'Não, Datena!';0;2024-09-30T18:42:07Z
@Chuck_ONT;😂😂😂😂😂😂😂😂😂😂🎉😂;0;2024-09-30T05:38:50Z
@lua-in2sl;beowulf j.HP;0;2024-09-29T01:35:38Z
@alexsandroroberto4084;Kkkkkkkkkkk;0;2024-09-28T20:37:02Z
@gisellepaz7784;KKKKKKKKKK;0;2024-09-27T17:57:09Z
@GrandePlinio;E ele dizendo ao fundo 'seu filho da p*******ta!' 😆 0:14;1;2024-09-27T01:56:39Z
@Kauan-l2f;VAI DATENA;0;2024-09-26T22:01:30Z
@cesarsantos801;Eu amo o Datena! ❤;0;2024-09-26T20:33:13Z
@ademarmiguelrodrigues8137;E foda... milionário brigando como criança e agente aqui se fudendo...;0;2024-09-26T00:51:02Z
@danyoliveira5781;Datena é agressivo e assediador 👍👍👍;0;2024-09-26T00:33:53Z
@ScorpionKreitus;De frente pra onca vc da no nariz, agora de frente pro leão, toma caldeirada hahahahahah;0;2024-09-25T23:10:22Z
@FernandoDavi-o2o;Vai lá Pablo fodao;0;2024-09-25T21:51:19Z
@RNx-h3x;'Não datena' 'vai 😡';0;2024-09-25T14:18:46Z
@Samucaobrabo-bh7ut;O ferrinho pego na nuca e na custela deve doido depois;0;2024-09-25T09:42:48Z
@ivandonascimento9589;Este é o Datena madou este lixo para o lugar dele !!!!!;0;2024-09-25T02:01:06Z
@marciofranca7193;Desequilíbrado, hipócrita e covarde!!!;1;2024-09-24T23:07:54Z
@leandrosei1245;NÃO! DATENA;0;2024-09-24T17:30:13Z
@JulcineiaMota;O QUE Ñ FAZ QUERER NADAR NO DINHEIRO PÚBLICO.  SE Ñ TIVESSE DINHEIRO AOS MONTE, NINGUÉM IA QUERER BRIGAR TANTO POR ESSA FONTE DE DINHEIRO FÁCIL.  E O POVO Q SE LASQUE. TODO QUERENDO PROPINA E DESVIO D DINHEIRO PÚBLICO... E O POVO! TOOOMA...;0;2024-09-24T14:23:11Z
@laurapiresaraujo7721;Tud;0;2024-09-24T12:47:00Z
@Benigno93;Ameiiiiii ❤;0;2024-09-24T05:17:18Z
@PVGAMES-IJ3;Vamos aos comerciais prf kkkkkkkk;0;2024-09-24T00:24:54Z
@Arthurbloxx14-ig6qm;A cara do cara 👀 nossos COMERCIAIS POR FAVOR;0;2024-09-23T18:45:04Z
@raonyotaku5756;Kkkkkkkkk;0;2024-09-23T03:58:39Z
@matheus_capudo1880;Vc não é homem nem pra conversar datena vai dormir;0;2024-09-23T00:43:57Z
@maicosólaaaaa;Eu votaria no Datena só por isso kkk;0;2024-09-22T23:39:19Z
@9yashinoki;Datena conquistou meu voto!Com essa cadeirada já fez mais por mim do que qualquer outro candidato. 👏👏👏👏👏👏👏👏👏👏👏;0;2024-09-22T19:16:48Z
@FernandoAlves-b9u;😅😅😅;0;2024-09-22T15:53:54Z
@Bosta_Fedorenta;⚖️ Esse comentário foi removido pelo Supremo Tribunal Eleitoral. Saiba mais.;0;2024-09-22T09:38:12Z
@7i59;Kkkkkkkkkk;0;2024-09-22T04:37:51Z
@ribeiro.daniels;Se fosse o contrário iriam imperdir a candidatura;4;2024-09-22T01:16:19Z
@ribeiro.daniels;Se fosse o 😚;0;2024-09-22T01:15:47Z
@siomaracorrea8454;Kkkkk;0;2024-09-22T00:17:04Z
@LauricenaJesusfretz;É  JMA VERGONHA!!!!;0;2024-09-21T23:45:46Z
@Star_viss;não se preocupem,a cadeira não quebrou 😂;1;2024-09-21T23:44:44Z
@Star_viss;kkk mano do céu;0;2024-09-21T23:43:42Z
@Infityspace_oficial;😂😂😂;0;2024-09-21T22:57:51Z
@carlacarvalho571;😂😂😂, MARÇAL mereceu 😂;0;2024-09-21T19:07:04Z
@MommyBlox_OficialGames;KAKAKA;0;2024-09-21T18:58:53Z
@FewDone-x2s;Kkkkkkkk;0;2024-09-21T16:50:03Z
@dennerwilliam377;Não Datena , não não kkk;0;2024-09-21T11:34:56Z
@migueluchoa7701;adorei;1;2024-09-21T10:40:36Z
@BryanLuiz-ut9fz;Pegou no coco certinho kakakakakkaka um no cu do oto;0;2024-09-21T02:37:56Z
@marciamariamaia3367;Nosso s comerciais  por favor  😂😂😂😂;0;2024-09-21T01:59:04Z
@AqueleAresMesmo;Datena não é o herói que queríamos, mas é o herói que precisamos;0;2024-09-21T00:57:44Z
@SirleideCampanha;Band de mal educado tudo doido p roubar kkkkkkkk esse tal de Marçal e podre de rico tá querendo mais din din  pra ganhar o salário de prefeito que não é kkkkkkk  quem vai vencer kkkkkk  um engolindo o outro kkkkkk;0;2024-09-21T00:52:30Z
@IsraelSantos-dl8fz;Dapena covarde comunista embutido;1;2024-09-20T23:15:31Z
@Guardiãodobar;VOTE DATENA PARA PREFEITO CE NÃO VOTA LEVA CADERADA;0;2024-09-20T22:11:48Z
@SrBatata22;'não datena, Não não, Filho da put-  Nossos comerciais por favor' kkkkkk;0;2024-09-20T22:09:42Z
@Estherlaurah;Esse pablo não tinha nenhum Argumento só sabia Provocar o Datena. Bem feito.;0;2024-09-20T21:40:36Z
