author;message;like_count;time
@Jammillydias;Os cara tão rindo da cara de Marçal nesse momento kkk;0;2024-10-27T18:36:44Z
@Jammillydias;Datena para presidente quem tá comigo👇;0;2024-10-27T18:36:23Z
@JoseCarlosGuimarãesdeOlive-q7l;Cara sem padrão esse marcal negocio e sobre planejamento não ficar ofendendo ngm;0;2024-10-25T19:16:38Z
@BernardoFerreira-s7l;Corta pros comerciantes por favor akakakkakaEssa me pegou;0;2024-10-21T17:50:12Z
@SplickkksTV;Imagine a moça da linguagens de sinais como tava 😂;0;2024-10-12T23:10:14Z
@ClaudiaCristina-et3ne;O Marçal nao respeita ninguem, nao apresenta um plano real de governo pra cidade,vai aos debates para provocar os outros e chama tudo mundo de comunista.Ele mereceu a cadeirada!;0;2024-10-10T04:12:45Z
@Alemão-l2u;Nossa qui imagem forte to traumatizado;0;2024-10-09T23:59:40Z
@Rodrigo070480;Como diz o Renzo Gracie 'Sou muito suspeito de falar porque adoro uma confusão'. AHAHAHAHAHA...;0;2024-10-09T04:52:49Z
@pizzalance;voce é um arregão ☝ você atravessou 🏃 o debate esses dias pra me dar um tapa 💪 e falou que você queria ter feito 🤞👀 você 🫵nao é homem 🧔🏻‍♀ nem pra fazer isso 🫸🤞 você não é homi-  NAO DATENA NAO NAO 🪑💥🪑🪑👨‍🦼SEU FILHO DA PU🫵🤬 nossos 👨‍🔬🎤 comerciais por favor🙌🙏🏃‍♂🏃‍♂🏃‍♂🏃🏃‍♂🎼🎶🎶🎵;0;2024-10-07T01:39:35Z
@joaofelipe5470;Datena Forever  !;0;2024-10-06T00:01:35Z
@arthurlima9737;'Não Datena &#39.😂😂;0;2024-10-04T03:27:38Z
@Fantasmão56;Dois mentecaptos inclusive todos que estão ali, Enéas esteve certo desde o princípio.;0;2024-10-03T01:55:00Z
@JonosManis;Rodando comerciais depois de uma agressão skksksks;0;2024-09-30T02:24:53Z
@joseserraoficial-i2r;0:36 oxente! O leão serva nossa os comerciais por favor;0;2024-09-29T00:22:35Z
@joseserraoficial-i2r;0:35 Veja isso imagens do plantão Itatiaia;0;2024-09-29T00:21:42Z
@DaniellFernandes;é população de São Paulo, tá complicado o negócio;0;2024-09-24T00:43:03Z
@antoniocarlosespirindio5835;Bem dada a banquetada , disse que ele não era homem ele foi kkkkkkk;0;2024-09-22T19:10:51Z
@luizrenato8423;0:36 nossos comerciais por favor que o Flávio Cavalcanti diz;1;2024-09-22T02:57:13Z
@Spmotovlog-o9l;Bem feito isso é pra acabar com essa palhaçada de ficar com ofensas pessoais, que é um tipo de agressão, debate não é pra discutir a vida pessoal, e sim as ideias políticas, Datena fez é pouco, finalmente tomou a surra que o pai nunca deve ter dado!;1;2024-09-21T11:31:39Z
@elieteromeradecarvalho5744;O Datena errou pois caiu na armadilha de Pablo seja mais inteligente e aja com sabedoria é lamentável k no mundo existem vários Datenas;1;2024-09-20T08:20:59Z
@Komatsu1509;QUE BAIXARIA O MUNDO INTEIRO VIU ESSA VERGONHA;1;2024-09-20T03:17:27Z
@biroartes1760;Vc não é homem kkkkkk;0;2024-09-20T01:38:21Z
@cesasopaofernades4449;Aínda não entendi pq o Datena não foi preso no local?;0;2024-09-19T15:13:06Z
@zigprof;Achei pouco e não ficou muito claro no vídeo. Pode repetir, por favor?? 😂😂😂;0;2024-09-19T14:50:54Z
@TellesRose;Muito triste isso, os dois errado, mas esse Pablo também ficar provocando os outros pra que? Deveriam ser todos expulsos da competição 😢;0;2024-09-19T11:12:52Z
@LuanSilva-q7w;Macaé ganhou todos juntos M pablo macal;0;2024-09-18T22:49:14Z
@minhaveznacozinha6351;Marketeiro não, profissional de marketing.;0;2024-09-18T21:14:38Z
@JurandiralvesdeazevedoAlves;Melhor jeito de se calar um falastrão, a internet tem tanta gente sem freio na língua precisando de um corretivo desses, as vezes só funciona assim,  Datena tem o meu respeito, pena que não pegou em cheio.;1;2024-09-18T15:14:50Z
@rosanakaydosi7910;Cadeira, cadeira, cadeira pra prefeita de São Paulo. 😂😂😂😂;0;2024-09-18T15:12:02Z
@neidemiranda8350;Esse datena é um babaca mesmo;1;2024-09-18T13:12:50Z
@Cecilia-p7u;COMO FICARÁ NOS POPULAÇÃO NESSE  FOGO 🔥 CRUZADO.;0;2024-09-18T12:38:51Z
@Cecilia-p7u;MARÇAL ERROU TAMBÉM DE PROVOCAR O DATENA DIZENDO QUE ELE NÃO É HOMEM PARA FAZER ISSO.;0;2024-09-18T12:36:02Z
@Cecilia-p7u;DATENA É UM ÓTIMO JORNALISTA, NÃO PARA SER POLÍTICO, NA MINHA OPINIÃO FALOU PRODUÇÃO BOM 👍🏻 DIA ❤❤;1;2024-09-18T12:30:10Z
@vivianepiovato1419;Apoiado datena😂;0;2024-09-18T12:23:14Z
@jaderandrade264;Vejo as pessoas comemorando a agressão física, por causa de uma provocação verbal. Então se uma mulher provocar um homem verbalmente, ela pode ser agredida? Se uma mulher usar uma roupa curta, ela pode ser estuprada? Se uma pessoa xingar outra, o ofendido pode dar um tiro? É isso? A lógica é a mesma.;0;2024-09-18T12:19:37Z
@monteirofil;Isso é o Brasil?;0;2024-09-18T05:44:06Z
@brasilsantos4435;Ta certíssimo cara desafiou teve que mereceu quem tem sangue de barata;0;2024-09-18T02:12:07Z
@jailtonribeiro298;veja que nível esta a nossa politica pega um maluco e desequilibrado mental pra ser candidato a prefeitura de são Paulo ,  para agredir covardemente o seu adversário ele não sabe que politica é assim o mais inteligente usa as estratégia para provocar os mais burros;1;2024-09-18T01:09:18Z
@beicosamsam-n4w;Marçal é o Enéas de 2024  . O sistema quer pessoas que não questiona quer  gente burra, estão com o cu na mão mesmo 👍;0;2024-09-18T00:38:57Z
@DeivaoWL;Marketing, querem da uma lula vs bozo;0;2024-09-18T00:17:57Z
@fabianalameira7130;Adorei datena kkkkkkkk;1;2024-09-17T23:29:40Z
@robsoncloves9697;Esse tipo de fala desse rapaz com o Datena não pode ser admitida em um debate político, isso daí foi uma provocação a masculinidade de um homem.Acho que os dois teriam que serem penalizados.Foi provocação do rapaz.;0;2024-09-17T21:24:22Z
@shadowplay1960;Se razão só foi provocação lembrará da cadeira da proxima sempre quando falar que um homem não é homem ainda mais o Datena kk;0;2024-09-17T21:18:33Z
@ericksantos3691;My name is Jhon Cena. PAPANAPAAAAM PAPANAPAMMMMM;0;2024-09-17T18:16:02Z
@TaisaMc;O nível dos políticos do Brasil;1;2024-09-17T16:02:45Z
@srspaflor;Se eu votasse em São Paulo Datena . Votaria em você.;5;2024-09-17T15:56:53Z
@cleoboyra3755;Datena tem meu voto, agora!😂😂😂😂;4;2024-09-17T15:55:43Z
@cleoboyra3755;😂😂😂😂😂😂😂;0;2024-09-17T15:54:37Z
@vitinff2202;Mas não dúvido que o Pablo tenha oferecido milhões pra ele fazer isso, onde a cadeira pegou na costela😅, pelo menos não foi uma facada kkkkkkk;0;2024-09-17T15:53:36Z
@vitinff2202;Provou que não é homem mesmo kkk vem com uma cadeira ava kkk;1;2024-09-17T15:52:17Z
@Guimadark;O roubo agora vem de cadeira em mao ...;0;2024-09-17T13:27:02Z
@remulogaming;Datena ganhou meu voto kkkkkkk;0;2024-09-17T12:45:41Z
@nadjadepaula1948;A prova de que uma pessoa é fraca , é quando pega algum objeto pra se defender .;0;2024-09-17T10:58:53Z
@jeancrush;Gostei 😂🎉;1;2024-09-17T07:39:36Z
@cinthiameier.1712;Marçal é muito atrevido, falta de respeito, sem classe;0;2024-09-17T07:23:20Z
@Ale-jm6ly;Esses candidatos estão cada vez piores, deus nos livre dessas criaturas bizarras;0;2024-09-17T03:43:47Z
@toymakeovergamesbiscuit8406;Pena que o Pablo não foi pro hell;0;2024-09-17T03:33:35Z
@virinhatit;Que vergonha a política Brasileira. Os candidatos não têm proposta alguma para a sociedade então fica essa baixaria...;0;2024-09-17T02:37:06Z
@sileidesilva7836;Esse moleque apareceu do nada, nao respeita ninguém, o mundo ensina mesmo, apanhou pouco ainda;1;2024-09-17T01:37:42Z
@JM14782;O pais acabou kkk;0;2024-09-17T01:17:46Z
@Nezuko_ofc-r6n;Foi igual o tiro do Donald Trump saiu pela culatra a diferença foi a arma 🔫 nenhuma acertou em cheio , povo pra não ter mira neh !;0;2024-09-17T01:03:23Z
@chimpazoo1143;KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK O HOMEM COM A MAIOR CALMARIA &#39.Não, Datena, Não!' Depois ele solta um 'Rola os comerciais. Rachei o bico KKKKKKKKKKKKKK;0;2024-09-17T00:56:19Z
@margaridamagalhaes2221;Parabéns  Datena ,ele que nao homem HONESTO;0;2024-09-17T00:48:12Z
@MarcosVinicius-nq1hv;Ninguém é digno de assumir uma Prefeitura tão importante... Politica não é carreira, oferece salario mínimo pra ver se faziam isso tudo pra chegar na cadeira. Nunca.;0;2024-09-17T00:44:48Z
@MarcosVinicius-nq1hv;é a politica brasileira, isso só demonstra que vamos de mal a pior... tenho dó das próximas gerações, vão sofrer mais que nós atualmente;0;2024-09-17T00:41:29Z
@brenocorrea7627;Dapena descontrolado emocionamente;0;2024-09-16T23:58:57Z
@Andrea-dsf;Não sou a favor de nem um dos dois, mas o Datena não tem controle emocional, e só perceberem como ele trata o pessoal que trabalha com ele.Inagina o que ele não faz quando não estão gravado;0;2024-09-16T23:53:26Z
@marcioaparecidopereira2126;Marçal é um boçal. Baixou tanto o nível que chegou ao ponto de ser agredido em televisão aberta. Datena, qual é o Pix? Vou ajudar a pagar o processo....;0;2024-09-16T23:23:54Z
@operegrino8893;Se não consegue administrar as próprias emoções, como quer administrar uma cidade de milhões de pessoas.;0;2024-09-16T23:22:27Z
@juniorcastro5173;nao vi nem uma cena forte;0;2024-09-16T23:05:48Z
@ejnina466;Depates sem objetivos. Ambos os lados se contradizem!!!;0;2024-09-16T22:51:43Z
@JoséMiguel-b8x;KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK;0;2024-09-16T22:39:16Z
@Jesuscristosalvador21ofc;Datena é o kra;1;2024-09-16T22:16:29Z
@Jesuscristosalvador21ofc;Datena é Macho!!!;0;2024-09-16T22:16:12Z
@vivianenascimentofariasfio7371;Meu voto sempre foi seu meu querido Datena;1;2024-09-16T22:02:43Z
@vivianenascimentofariasfio7371;Parabéns, Datena! Tem hora que não dá para levar desaforo pra casa. Para lidar com doido tem que ser doido e meio, muita gentinha medíocre que criticou gostaria de ter culhão pra faZer o mesmo! Só que não tem, meu marido mesmo não faria, mas eu sim! Esse dissimulado do car...., tinha esperança que vc vencesse esse desafio de nos representar. Mas o povo gosta de pão circo, então agora teremos o teatro do Marçal que está aproveitando para pedir likes depois da merecida surra de cadeira. E os outros irão na carona com aquela conversinha mole de deixa disso !;0;2024-09-16T22:00:24Z
@joseluismoreira4685;Tudo pegadinha acorda povo  meu.;0;2024-09-16T21:40:32Z
@joseluismoreira4685;A moda agora fequiada tirotramp e datenacadeirada Esso sim ganha eleição;0;2024-09-16T21:39:08Z
