author,message,like_count,time
@caiqueamorim5463,"<a href=""https://www.youtube.com/watch?v=WlvMC93Vmys&amp;t=204"">3:24</a>",0,2025-01-20T00:42:52Z
@AnaCostaGaleno,"Datena vai pra polícia,eo  Marçal pra ambulancia",0,2024-12-17T21:19:26Z
@zulmirastrapasson5774,Estou rindo até hoje.kkkkkkkkkkķkkkkkkk<br>O Marçal é malandro.<br>É riquinho porque?<br>Nao puxo saco de riquinho nenhum.<br>Nota zero .<br>Esse ganha dinheiro com papo <br>E os trouxas acreditam no dito.kkkkkkkkkkk,0,2024-10-22T11:14:46Z
@cacildanogueira4812,Que vergonha,0,2024-09-28T00:13:37Z
@ROSA25220,Fora PSD,0,2024-09-24T23:42:37Z
@ROSA25220,PSD apoiador do Frankstein brasileiro 😂,0,2024-09-24T23:42:24Z
@abrahao257,Um cara desse ainda que ser candidato... Não tem moral para isso não,0,2024-09-23T20:30:33Z
@abrahao257,Já não gostava  do Datena agora já era,0,2024-09-23T20:30:04Z
@ivoneidesousa9645,Que baixaria,0,2024-09-23T19:51:34Z
@laurindogomes5995,Não falei que ia virar meme😂😂😂,0,2024-09-22T17:19:54Z
@monicadaniel-ug5ld,O cara conseguiu o que queria.,0,2024-09-20T14:31:50Z
@monicadaniel-ug5ld,Ambulância pra quê????,0,2024-09-20T14:31:26Z
@RobertoLinoMachado-jy1jk,"Existem erros graves  da parte da justiça eleitoral ao permitir que acusações sejam definidas por candidatos, em um debate eleitoral, quando o que deveria ser discutido seria o programa de governo.  As emissoras precisam  ter critério para promover um debate. Elas teriam que dizer para os debate dores que o que está em discussão é o programa de governo de casa candidato, e não os assuntos pessoal dos mesmos.",0,2024-09-20T07:51:52Z
@KarenGabrielle-bp4ef,Resumo não faca isso😊seu Datena .,0,2024-09-20T01:04:30Z
@KarenGabrielle-bp4ef,Repeite Datena seu mrssal se não vc vai cair no  lamaçal arriscado ficar em pe por causa  ďe uma cadeira.,0,2024-09-20T00:55:41Z
@CristinaBassetoBasseto,Que abdurdo. Vomo Datena acha q pode se candidatar desse jeito 😐,0,2024-09-19T22:37:52Z
@mariajosecostagomes949,a que ponto chega o ser humano !!!!!!!! agredir p tentar vencer eleiçao,0,2024-09-19T20:13:01Z
@cassilenepires1276,Vergonhoso p os 2 <br>Candidatos <br>Ao meu ver nemhum dele são vitmas,0,2024-09-19T20:07:24Z
@karinavaleriote6587,JESUS amado teve até cascalho😮 eu disse cascalho tá gente😂,0,2024-09-19T18:20:39Z
@leonardoamorim3748,Melhor que a escolinha do professor Raimundo,0,2024-09-19T11:59:55Z
@Christian10031976,"Politica é uma vergonha, nem propostas mentirosas tem mais, so ofensas, o eleitor agora precisa ver quem é o melhor ofensor para votar, parece brincadeira, brincadeira sem graça. Lastimável! BRANCO, NULO !",0,2024-09-18T22:30:33Z
@sofialua7439,"O Datena ,perdeu o controle, mais o Marçal o provocou 😢😮😮😮😮😮😮😮😮😮😮😮😮😮😮",1,2024-09-18T18:58:07Z
@KlaydeaniaFranca,Datena vc e o cará ❤❤❤❤grande Datena desafiar Homem 😂só dar nisso 😂😂😂❤❤❤e isso AE Datena,1,2024-09-18T15:01:52Z
@KlaydeaniaFranca,Ainda não vi as propostas o q vai ser de são Paulo gente kkkkkk,1,2024-09-18T14:59:33Z
@KlaydeaniaFranca,Deveria ter levado tora de pau na cabeça isso sim golpista ridículo não se ganha votos agredindo pessoas com palavras e sim com propostas Datena parabéns querido,1,2024-09-18T14:58:14Z
@elianagoncalves6522,"Datena mostra o desequilibrado troglodita e impróprio para conviver em sociedade. O pior é qúea verdade veio a tona, o que disse MARÇAL está publicado em jornal de Minas com declarações da jornalista que revela toda a verdade. Quem não pode com acusações não cometa crimes, aliás com o acontecimento da cadeira da foi mais um para sua ficha corrida. 😅",0,2024-09-18T14:33:07Z
@GracieleLimma,"Esse Marçal parece um moleque mimado que esqueceu de crescer. Só  sabe ser disrepeitoso, fica feio ver o jeito sem respeito que ele está  tratando todos outros candidatos. Eu nem voto para São Paulo, mas se votasse não  votaria nesse Marçal. Se liga gente.",0,2024-09-18T11:38:42Z
