author;message;like_count;time
@portarias2;A profissional de libras ficou tipo: 💀💀;0;2025-01-17T10:52:58Z
@CamilaFerreiradosSantos-z4z;Marçal fala verdade ❤❤❤❤;0;2025-01-17T01:45:56Z
@CamilaFerreiradosSantos-z4z;Marçal fala verdade;0;2025-01-17T01:45:38Z
@josepaulopereira905;Deixa eles simatarem !🤭 kkkk!;0;2025-01-15T21:53:35Z
@josepaulopereira905;Dóis bolsonarista brigando 🤔 que coisa feia 🤭 kkkk  , vcs não tem vergonha não ?🤔;0;2025-01-15T21:52:33Z
@shuggielaufquen8371;kkkk 3,4 mi de visualizações é pouco!!;0;2025-01-15T15:59:02Z
@Welsondavidespuzaoliveira;Tá poxa;0;2025-01-12T23:03:09Z
@GustavodaSilvaCarvalho-g6g;Que vergonha;1;2025-01-11T14:23:34Z
@maiquelmarques7679;O corte cedo do Datena falando 'Seu filha da p..' kakakakkakakakkakakkakakakkakakakkakakakakak vlw Datena sou teu fã;1;2025-01-10T18:21:20Z
@LeLeBsMT;Inadmissível, um verdadeiro político não usa uma cadeira para agredir ninguém, pq o revólver é bem mais eficiente. SKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKSKKSKSKSKSKSKSKSKS;0;2025-01-09T02:15:30Z
@Passarinho-y8c;Tadinha da pablita;0;2025-01-07T00:30:08Z
@danielzamarian3381;Gratidão por executar o desejo do nosso coração, Datena!!;0;2025-01-04T04:51:47Z
@Vinipsm;top 10 debates;0;2025-01-04T01:23:28Z
@Raíssa_Vieira12;Kakakaka;0;2025-01-03T16:41:00Z
@JoanaMenezes-h9f;@CarlosHenrique-et7zy Não foi um DaBATE! 😂;0;2025-01-01T23:30:44Z
@JoanaMenezes-h9f;Marçal: Eu me machuquei.Datena: Foi com a cadeirada que eu te dei!;0;2025-01-01T23:25:22Z
@gabrielchaibsam1530;Esses dois são otários;0;2024-12-30T17:23:49Z
@JeanPablo-uq3gs;Lapada seca do djabo;0;2024-12-29T20:44:21Z
@robertorres2;Sempre que estou triste, venho aqui ver esse monte de estrume chamado Pablo marçal levar essa cadeirada. Isso me deixa alegre novamente;4;2024-12-27T03:28:27Z
@daianegoldmeier5261;Ai que vídeo bom, sempre que eu tô triste eu volto pra ver de novo;1;2024-12-27T01:24:51Z
@canalnoegomes;Merecida a cadeirada;5;2024-12-24T23:50:49Z
@redekinemasteroficial;kkkkk;0;2024-12-23T21:58:45Z
